Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
1,Gujarat_24,Banaskantha_441,Dantiwada_3735,NA,Deri,Deri,Piezometer,SGWD,G_1_BK_021,24.4425,72.42,60,Unconfined,16.3,6.8,9.4,8.8,15.4,2,8.1,13.55,24.4,11.2,13.35,3.1,20.8,16.9,20.2,12.3
2,Gujarat_24,Banaskantha_441,Dantiwada_3735,Akoli_155943,Akoli,Akoli,Piezometer,SGWD,G_1_BK_018,24.49694,72.38389,60,Unconfined,15.4,18.7,24.7,22.2,31.2,8.1,15.8,21.3,55.6,49.4,57.1,34.1,58.2,49.45,51.4,46.4
3,Gujarat_24,Banaskantha_441,Dantiwada_3735,Bhadli Kotha_155946,Bhadli kotha,Bhadli kotha,Piezometer,SGWD,G_1_BK_019,24.36361,72.28944,60,Unconfined,22.1,19.1,21.1,1.6,21.3,14.8,27.7,21.6,27.5,21.2,20,19.1,19.45,18.15,Dry,Dry
4,Gujarat_24,Banaskantha_441,Dantiwada_3735,Dantiwada_155954,Dantiwada,Dantiwada,Piezometer,SGWD,G_1_BK_020,24.35583,72.36389,60,Unconfined,12.9,9.6,13,12.6,15.8,7,8.6,7.85,11.1,10.2,8.8,2.7,10.8,6.8,12.4,6.45
5,Gujarat_24,Banaskantha_441,Dantiwada_3735,Gundari_155956,Gundari,Gundari,Dug Well,SGWD,BK-105,24.55611,72.35083,28.35,Unconfined,16.7,16.3,16.8,15.4,23.4,8.6,15.2,11.2,17.3,13.9,16,10,22.2,19.8,21.6,20.3
6,Gujarat_24,Banaskantha_441,Dantiwada_3735,Panthawada_155963,Panthawada,Panthawada,Piezometer,SGWD,G_1_BK_022,24.49194,72.30222,60,Unconfined,38.5,35.2,41.3,33.6,36.6,25.3,27.3,28.2,32.7,31.5,27.8,25.1,34.45,31.2,Dry,Dry
7,Gujarat_24,Banaskantha_441,Dantiwada_3735,Rajkot_275879,Rajkot,Rajkot,Piezometer,SGWD,BKPZ-060,24.46152,72.38372,60,Unconfined,15,10.3,12,16,22.6,5.9,8.8,11.2,19.3,11.2,12.1,7.1,13.4,9.5,12.8,9.8
8,Gujarat_24,Banaskantha_441,Dantiwada_3735,Vaghrol_155970,Vaghrol,Vaghrol,Piezometer,SGWD,HPII_BK_002,24.29222,72.3375,54.32,Unconfined,25.3,21.5,22.7,23.1,28.3,21.8,24.2,24,25.4,24.5,22.9,21,22.4,21.1,23.15,21.4
9,Gujarat_24,Banaskantha_441,Deesa_3740,NA,Deesa,Deesa Pzi,Piezometer,CGWB,W241524072111501,24.25667,72.1875,200,Confined II,79.3,74.37,78.3,73.59,74.22,70.6,75.3,NA,83.71,82.56,92.89,92.43,98.86,99.07,NA,62.12
10,Gujarat_24,Banaskantha_441,Deesa_3740,Agdol_155974,Meda,Meda,Dug Well,CGWB,W242350072170501,24.39722,72.28472,27,Unconfined,11.13,9.19,8.5,NA,15.5,12.66,12,5.13,6.56,7.02,9.1,5.8,8.35,9.71,13.05,17.99
